"id","reference","definition"
"2828","Pallu","<p>Separated, the second son of Reuben (1 Chr. 5:3); called Phallu, Gen. 46:9. He was the father of the Phalluites (Ex. 6:14; Num. 26:5, 8).</p>"
"2829","Palm tree","<p>(Heb. tamar), the date-palm characteristic of Palestine. It is described as &quot;flourishing&quot; (Ps. 92:12), tall (Cant. 7:7), &quot;upright&quot; (Jer. 10:5). Its branches are a symbol of victory (Rev. 7:9). &quot;Rising with slender stem 40 or 50, at times even 80, feet aloft, its only branches, the feathery, snow-like, pale-green fronds from 6 to 12 feet long, bending from its top, the palm attracts the eye wherever it is seen.&quot; The whole land of Palestine was called by the Greeks and Romans Phoenicia, i.e., &quot;the land of palms.&quot; Tadmor in the desert was called by the Greeks and Romans Palmyra, i.e., &quot;the city of palms.&quot; The finest specimens of this tree grew at Jericho (Deut. 34:3) and Engedi and along the banks of the Jordan. Branches of the palm tree were carried at the feast of Tabernacles (Lev. 23:40). At our Lord&#39;s triumphal entrance into Jerusalem the crowds took palm branches, and went forth to meet him, crying, &quot;Hosanna: Blessed is the King of Israel that cometh in the name of the Lord&quot; (Matt. 21:8; John 12:13). (See [457]DATE.)</p>"
"2830","Palm trees, The city of","<p>The name given to Jericho (q.v.), Deut. 34:3; Judg. 1:16; 3:13.</p>"
"2831","Palmerworm","<p>(Heb. gazam). The English word may denote either a caterpillar (as rendered by the LXX.), which wanders like a palmer or pilgrim, or which travels like pilgrims in bands (Joel 1:4; 2:25), the wingless locusts, or the migratory locust in its larva state.</p>"
"2832","Palsy","<p>A shorter form of &quot;paralysis.&quot; Many persons thus afflicted were cured by our Lord (Matt. 4:24; 8:5-13; 9:2-7; Mark 2:3-11; Luke 7:2-10; John 5:5-7) and the apostles (Acts 8:7; 9:33, 34).</p>"
"2833","Palti","<p>Deliverance from the Lord, one of the spies representing the tribe of Benjamin (Num. 13:9).</p>"
"2834","Paltiel","<p>Deliverance of God, the prince of Issachar who assisted &quot;to divide the land by inheritance&quot; (Num. 34:26).</p>"
"2835","Paltite","<p>The designation of one of David&#39;s heroes (2 Sam. 23:26); called also the Pelonite (1 Chr. 11:27).</p>"
"2836","Pamphylia","<p>Paul and his company, loosing from Paphos, sailed north-west and came to Perga, the capital of Pamphylia (Acts 13:13, 14), a province about the middle of the southern sea-board of Asia Minor. It lay between Lycia on the west and Cilicia on the east. There were strangers from Pamphylia at Jerusalem on the day of Pentecost (2:10).</p>"
"2837","Pan","<p>A vessel of metal or earthenware used in culinary operations; a cooking-pan or frying-pan frequently referred to in the Old Testament (Lev. 2:5; 6:21; Num. 11:8; 1 Sam. 2:14, etc.).</p><p>The &quot;ash-pans&quot; mentioned in Ex. 27:3 were made of copper, and were used in connection with the altar of burnt-offering. The &quot;iron pan&quot; mentioned in Ezek. 4:3 (marg., &quot;flat plate &quot; or &quot;slice&quot;) was probably a mere plate of iron used for baking. The &quot;fire-pans&quot; of Ex. 27:3 were fire-shovels used for taking up coals. The same Hebrew word is rendered &quot;snuff-dishes&quot; (25:38; 37:23) and &quot;censers&quot; (Lev. 10:1; 16:12; Num. 4:14, etc.). These were probably simply metal vessels employed for carrying burning embers from the brazen altar to the altar of incense.</p><p>The &quot;frying-pan&quot; mentioned in Lev. 2:7; 7:9 was a pot for boiling.</p>"
"2838","Pannag","<p>(Ezek. 27:17; marg. R.V., &quot;perhaps a kind of confection&quot;) the Jews explain as the name of a kind of sweet pastry. Others take it as the name of some place, identifying it with Pingi, on the road between Damascus and Baalbec. &quot;Pannaga&quot; is the Sanscrit name of an aromatic plant (comp. Gen. 43:11).</p>"
"2839","Paper","<p>The expression in the Authorized Version (Isa. 19:7), &quot;the paper reeds by the brooks,&quot; is in the Revised Version more correctly &quot;the meadows by the Nile.&quot; The words undoubtedly refer to a grassy place on the banks of the Nile fit for pasturage.</p><p>In 2 John 1:12 the word is used in its proper sense. The material so referred to was manufactured from the papyrus, and hence its name. The papyrus (Heb. gome) was a kind of bulrush (q.v.). It is mentioned by Job (8:11) and Isaiah (35:7). It was used for many purposes. This plant (Papyrus Nilotica) is now unknown in Egypt; no trace of it can be found. The unaccountable disappearance of this plant from Egypt was foretold by Isaiah (19:6, 7) as a part of the divine judgment on that land. The most extensive papyrus growths now known are in the marshes at the northern end of the lake of Merom.</p>"
"2840","Paphos","<p>The capital of the island of Cyprus, and therefore the residence of the Roman governor. It was visited by Paul and Barnabas on their first missionary tour (Acts 13:6). It is new Paphos which is here meant. It lay on the west coast of the island, about 8 miles north of old Paphos. Its modern name is Baffa.</p>"
"2841","Parable","<p>(Gr. parabole), a placing beside; a comparison; equivalent to the Heb. mashal, a similitude. In the Old Testament this is used to denote (1) a proverb (1 Sam. 10:12; 24:13; 2 Chr. 7:20), (2) a prophetic utterance (Num. 23:7; Ezek. 20:49), (3) an enigmatic saying (Ps. 78:2; Prov. 1:6). In the New Testament, (1) a proverb (Mark 7:17; Luke 4:23), (2) a typical emblem (Heb. 9:9; 11:19), (3) a similitude or allegory (Matt. 15:15; 24:32; Mark 3:23; Luke 5:36; 14:7); (4) ordinarily, in a more restricted sense, a comparison of earthly with heavenly things, &quot;an earthly story with a heavenly meaning,&quot; as in the parables of our Lord.</p><p>Instruction by parables has been in use from the earliest times. A large portion of our Lord&#39;s public teaching consisted of parables. He himself explains his reasons for this in his answer to the inquiry of the disciples, &quot;Why speakest thou to them in parables?&quot; (Matt. 13:13-15; Mark 4:11, 12; Luke 8:9, 10). He followed in so doing the rule of the divine procedures, as recorded in Matt. 13:13.</p><p>The parables uttered by our Lord are all recorded in the synoptical (i.e., the first three) Gospels. The fourth Gospel contains no parable properly so called, although the illustration of the good shepherd (John 10:1-16) has all the essential features of a parable. (See List of Parables in Appendix.)</p>"
"2842","Paradise","<p>A Persian word (pardes), properly meaning a &quot;pleasure-ground&quot; or &quot;park&quot; or &quot;king&#39;s garden.&quot; (See [458]EDEN.) It came in course of time to be used as a name for the world of happiness and rest hereafter (Luke 23:43; 2 Cor. 12:4; Rev. 2:7). For &quot;garden&quot; in Gen. 2:8 the LXX. has &quot;paradise.&quot;</p>"
"2843","Parah","<p>The heifer, a town in Benjamin (Josh. 18:23), supposed to be identical with the ruins called Far&#39;ah, about 6 miles north-east of Jerusalem, in the Wady Far&#39;ah, which is a branch of the Wady Kelt.</p>"
"2844","Paran","<p>Abounding in foliage, or abounding in caverns, (Gen. 21:21), a desert tract forming the north-eastern division of the peninsula of Sinai, lying between the Arabah on the east and the wilderness of Shur on the west. It is intersected in a north-western direction by the Wady el-Arish. It bears the modern name of Badiet et-Tih, i.e., &quot;the desert of the wanderings.&quot; This district, through which the children of Israel wandered, lay three days&#39; march from Sinai (Num. 10:12, 33). From Kadesh, in this wilderness, spies (q.v.) were sent to spy the land (13:3, 26). Here, long afterwards, David found refuge from Saul (1 Sam. 25:1, 4).</p>"
"2845","Paran, Mount","<p>Probably the hilly region or upland wilderness on the north of the desert of Paran forming the southern boundary of the Promised Land (Deut. 33:2; Hab. 3:3).</p>"
"2846","Parbar","<p>(1 Chr. 26:18), a place apparently connected with the temple, probably a &quot;suburb&quot; (q.v.), as the word is rendered in 2 Kings 23:11; a space between the temple wall and the wall of the court; an open portico into which the chambers of the official persons opened (1 Chr. 26:18).</p>"
"2847","Parched ground","<p>(Isa. 35:7), Heb. sharab, a &quot;mirage&quot;, a phenomenon caused by the refraction of the rays of the sun on the glowing sands of the desert, causing them suddenly to assume the appearance of a beautiful lake. It is called by the modern Arabs by the same Hebrew name serab.</p>"
"2848","Parchment","<p>A skin prepared for writing on; so called from Pergamos (q.v.), where this was first done (2 Tim. 4:13).</p>"
"2849","Pardon","<p>The forgiveness of sins granted freely (Isa. 43:25), readily (Neh. 9:17; Ps. 86:5), abundantly (Isa. 55:7; Rom. 5:20). Pardon is an act of a sovereign, in pure sovereignty, granting simply a remission of the penalty due to sin, but securing neither honour nor reward to the pardoned. Justification (q.v.), on the other hand, is the act of a judge, and not of a sovereign, and includes pardon and, at the same time, a title to all the rewards and blessings promised in the covenant of life.</p>"
"2850","Parlour","<p>(from the Fr. parler, &quot;to speak&quot;) denotes an &quot;audience chamber,&quot; but that is not the import of the Hebrew word so rendered. It corresponds to what the Turks call a kiosk, as in Judg. 3:20 (the &quot;summer parlour&quot;), or as in the margin of the Revised Version (&quot;the upper chamber of cooling&quot;), a small room built on the roof of the house, with open windows to catch the breeze, and having a door communicating with the outside by which persons seeking an audience may be admitted. While Eglon was resting in such a parlour, Ehud, under pretence of having a message from God to him, was admitted into his presence, and murderously plunged his dagger into his body (21, 22).</p><p>The &quot;inner parlours&quot; in 1 Chr. 28:11 were the small rooms or chambers which Solomon built all round two sides and one end of the temple (1 Kings 6:5), &quot;side chambers;&quot; or they may have been, as some think, the porch and the holy place.</p><p>In 1 Sam. 9:22 the Revised Version reads &quot;guest chamber,&quot; a chamber at the high place specially used for sacrificial feasts.</p>"
"2851","Parmashta","<p>Strong-fisted, a son of Haman, slain in Shushan (Esther 9:9).</p>"
"2852","Parmenas","<p>Constant, one of the seven &quot;deacons&quot; (Acts 6:5).</p>"
"2853","Parshandatha","<p>An interpreter of the law, the eldest of Haman&#39;s sons, slain in Shushan (Esther 9:7).</p>"
"2854","Parthians","<p>Were present in Jerusalem at Pentecost (Acts 2:9). Parthia lay on the east of Media and south of Hyrcania, which separated it from the Caspian Sea. It corresponded with the western half of the modern Khorasan, and now forms a part of Persia.</p>"
"2855","Partridge","<p>(Heb. kore, i.e., &quot;caller&quot;). This bird, unlike our own partridge, is distinguished by &quot;its ringing call-note, which in early morning echoes from cliff to cliff amidst the barrenness of the wilderness of Judea and the glens of the forest of Carmel&quot; hence its Hebrew name. This name occurs only twice in Scripture.</p><p>In 1 Sam. 26:20 &quot;David alludes to the mode of chase practised now, as of old, when the partridge, continuously chased, was at length, when fatigued, knocked down by sticks thrown along the ground.&quot; It endeavours to save itself &quot;by running, in preference to flight, unless when suddenly started. It is not an inhabitant of the plain or the corn-field, but of rocky hill-sides&quot; (Tristram&#39;s Nat. Hist.).</p><p>In Jer. 17:11 the prophet is illustrating the fact that riches unlawfully acquired are precarious and short-lived. The exact nature of the illustration cannot be precisely determined. Some interpret the words as meaning that the covetous man will be as surely disappointed as the partridge which gathers in eggs, not of her own laying, and is unable to hatch them; others (Tristram), with more probability, as denoting that the man who enriches himself by unjust means &quot;will as surely be disappointed as the partridge which commences to sit, but is speedily robbed of her hopes of a brood&quot; by her eggs being stolen away from her.</p><p>The commonest partridge in Palestine is the Caccabis saxatilis, the Greek partridge. The partridge of the wilderness (Ammo-perdix heyi) is a smaller species. Both are essentially mountain and rock birds, thus differing from the English partridge, which loves cultivated fields.</p>"
"2856","Paruah","<p>Flourishing, the father of Jehoshaphat, appointed to provide monthly supplies for Solomon from the tribe of Issachar (1 Kings 4:17).</p>"
"2857","Parvaim","<p>The name of a country from which Solomon obtained gold for the temple (2 Chr. 3:6). Some have identified it with Ophir, but it is uncertain whether it is even the name of a place. It may simply, as some think, denote &quot;Oriental regions.&quot;</p>"
"2858","Pasach","<p>Clearing, one of the sons of Japhlet, of the tribe of Asher (1 Chr. 7:33).</p>"
"2859","Pasdammim","<p>The border of blood = Ephes-dammim (q.v.), between Shochoh and Azekah (1 Sam. 17:1; 1 Chr. 11:13).</p>"
"2860","Pashur","<p>Release. (1.) The son of Immer (probably the same as Amariah, Neh. 10:3; 12:2), the head of one of the priestly courses, was &quot;chief governor [Heb. paqid nagid, meaning &quot;deputy governor&quot;] of the temple&quot; (Jer. 20:1, 2). At this time the nagid, or &quot;governor,&quot; of the temple was Seraiah the high priest (1 Chr. 6:14), and Pashur was his paqid, or &quot;deputy.&quot; Enraged at the plainness with which Jeremiah uttered his solemn warnings of coming judgements, because of the abounding iniquity of the times, Pashur ordered the temple police to seize him, and after inflicting on him corporal punishment (forty stripes save one, Deut. 25:3; comp. 2 Cor. 11:24), to put him in the stocks in the high gate of Benjamin, where he remained all night. On being set free in the morning, Jeremiah went to Pashur (Jer. 20:3, 5), and announced to him that God had changed his name to Magor-missabib, i.e., &quot;terror on every side.&quot; The punishment that fell upon him was probably remorse, when he saw the ruin he had brought upon his country by advising a close alliance with Egypt in opposition to the counsels of Jeremiah (20:4-6). He was carried captive to Babylon, and died there.</p><p>(2.) A priest sent by king Zedekiah to Jeremiah to inquire of the Lord (1 Chr. 24:9; Jer. 21:1; 38:1-6). He advised that the prophet should be put to death.</p><p>(3.) The father of Gedaliah. He was probably the same as (1).</p>"
"2861","Passage","<p>Denotes in Josh. 22:11, as is generally understood, the place where the children of Israel passed over Jordan. The words &quot;the passage of&quot; are, however, more correctly rendered &quot;by the side of,&quot; or &quot;at the other side of,&quot; thus designating the position of the great altar erected by the eastern tribes on their return home. This word also designates the fords of the Jordan to the south of the Sea of Galilee (Judg. 12:5, 6), and a pass or rocky defile (1 Sam. 13:23; 14:4). &quot;Passages&quot; in Jer. 22:20 is in the Revised Version more correctly &quot;Abarim&quot; (q.v.), a proper name.</p>"
"2862","Passion","<p>Only once found, in Acts 1:3, meaning suffering, referring to the sufferings of our Lord.</p>"
"2863","Passover","<p>The name given to the chief of the three great historical annual festivals of the Jews. It was kept in remembrance of the Lord&#39;s passing over the houses of the Israelites (Ex. 12:13) when the first born of all the Egyptians were destroyed. It is called also the &quot;feast of unleavened bread&quot; (Ex. 23:15; Mark 14:1; Acts 12:3), because during its celebration no leavened bread was to be eaten or even kept in the household (Ex. 12:15). The word afterwards came to denote the lamb that was slain at the feast (Mark 14:12-14; 1 Cor. 5:7).</p><p>A detailed account of the institution of this feast is given in Ex. 12 and 13. It was afterwards incorporated in the ceremonial law (Lev. 23:4-8) as one of the great festivals of the nation. In after times many changes seem to have taken place as to the mode of its celebration as compared with its first celebration (comp. Deut. 16:2, 5, 6; 2 Chr. 30:16; Lev. 23:10-14; Num. 9:10, 11; 28:16-24). Again, the use of wine (Luke 22:17, 20), of sauce with the bitter herbs (John 13:26), and the service of praise were introduced.</p><p>There is recorded only one celebration of this feast between the Exodus and the entrance into Canaan, namely, that mentioned in Num. 9:5. (See [459]JOSIAH.) It was primarily a commemorative ordinance, reminding the children of Israel of their deliverance out of Egypt; but it was, no doubt, also a type of the great deliverance wrought by the Messiah for all his people from the doom of death on account of sin, and from the bondage of sin itself, a worse than Egyptian bondage (1 Cor. 5:7; John 1:29; 19:32-36; 1 Pet. 1:19; Gal. 4:4, 5). The appearance of Jerusalem on the occasion of the Passover in the time of our Lord is thus fittingly described: &quot;The city itself and the neighbourhood became more and more crowded as the feast approached, the narrow streets and dark arched bazaars showing the same throng of men of all nations as when Jesus had first visited Jerusalem as a boy. Even the temple offered a strange sight at this season, for in parts of the outer courts a wide space was covered with pens for sheep, goats, and cattle to be used for offerings. Sellers shouted the merits of their beasts, sheep bleated, oxen lowed. Sellers of doves also had a place set apart for them. Potters offered a choice from huge stacks of clay dishes and ovens for roasting and eating the Passover lamb. Booths for wine, oil, salt, and all else needed for sacrifices invited customers. Persons going to and from the city shortened their journey by crossing the temple grounds, often carrying burdens...Stalls to change foreign money into the shekel of the temple, which alone could be paid to the priests, were numerous, the whole confusion making the sanctuary like a noisy market&quot; (Geikie&#39;s Life of Christ).</p>"
"2864","Patara","<p>A city on the south-west coast of Lycia at which Paul landed on his return from his third missionary journey (Acts 21:1, 2). Here he found a larger vessel, which was about to sail across the open sea to the coast of Phoenicia. In this vessel he set forth, and reached the city of Tyre in perhaps two or three days.</p>"
"2865","Pathros","<p>The name generally given to Upper Egypt (the Thebaid of the Greeks), as distinguished from Matsor, or Lower Egypt (Isa. 11:11; Jer. 44:1, 15; Ezek. 30:14), the two forming Mizraim. After the destruction of Jerusalem by Nebuchadnezzar, colonies of Jews settled &quot;in the country of Pathros&quot; and other parts of Egypt.</p>"
"2866","Patmos","<p>A small rocky and barren island, one of the group called the &quot;Sporades,&quot; in the AEgean Sea. It is mentioned in Scripture only in Rev. 1:9. It was on this island, to which John was banished by the emperor Domitian (A.D. 95), that he received from God the wondrous revelation recorded in his book. This has naturally invested it with the deepest interest for all time. It is now called Patmo. (See [460]JOHN.)</p>"
"2867","Patriarch","<p>A name employed in the New Testament with reference to Abraham (Heb. 7:4), the sons of Jacob (Acts 7:8, 9), and to David (2:29). This name is generally applied to the progenitors of families or &quot;heads of the fathers&quot; (Josh. 14:1) mentioned in Scripture, and they are spoken of as antediluvian (from Adam to Noah) and post-diluvian (from Noah to Jacob) patriachs. But the expression &quot;the patriarch,&quot; by way of eminence, is applied to the twelve sons of Jacob, or to Abraham, Isaac, and Jacob.</p><p>&quot;Patriachal longevity presents itself as one of the most striking of the facts concerning mankind which the early history of the Book of Genesis places before us...There is a large amount of consentient tradition to the effect that the life of man was originally far more prolonged than it is at present, extending to at least several hundred years. The Babylonians, Egyptians, and Chinese exaggerated these hundreds into thousands. The Greeks and Romans, with more moderation, limited human life within a thousand or eight hundred years. The Hindus still farther shortened the term. Their books taught that in the first age of the world man was free from diseases, and lived ordinarily four hundred years; in the second age the term of life was reduced from four hundred to three hundred; in the third it became two hundred; in the fourth and last it was brought down to one hundred&quot; (Rawlinson&#39;s Historical Illustrations).</p>"
"2868","Patrobas","<p>A Christian at Rome to whom Paul sent salutations (Rom. 16:14).</p>"
"2869","Pau","<p>(Gen. 36:39) or Pai (1 Chr. 1:50), bleating, an Edomitish city ruled over by Hadar.</p>"
