"id","chapter","verse","note"
"6133","Hosea 12","7","a merchant: Or, Canaan
"
"6134","Hosea 12","7","oppress: Or, deceive
"
"6135","Hosea 12","8","in all my labours they shall find none iniquity in me, that were sin: Or, all my labours suffice me not, he shall have punishment of iniquity in whom is sin
"
"6136","Hosea 12","10","by the ministry: Heb. by the handHosea 12:14 most bitterly: Heb. with bitterness
"
"6137","Hosea 12","14","blood: Heb. bloods
"
"6138","Hosea 13","2","they sin more and more: Heb. they add to sin
"
"6139","Hosea 13","2","men that sacrifice: Or, the sacrificers of men
"
"6140","Hosea 13","5","great drought: Heb. droughts
"
"6141","Hosea 13","8","the wild beast: Heb. the beast of the field
"
"6142","Hosea 13","9","is thine help: Heb. in thy help
"
"6143","Hosea 13","10","I will…: rather, Where is thy king?
"
"6144","Hosea 13","13","long: Heb. a time
"
"6145","Hosea 13","14","power: Heb. the hand
"
"6146","Hosea 13","15","pleasant vessels: Heb. vessels of desire
"
"6147","Hosea 14","2","receive us graciously: Or, give good
"
"6148","Hosea 14","5","grow: Or, blossom
"
"6149","Hosea 14","5","cast forth: Heb. strike
"
"6150","Hosea 14","6","spread: Heb. shall go
"
"6151","Hosea 14","7","grow: Or, blossom
"
"6152","Hosea 14","7","sent: Or, memorial
"
"6153","Joel 1","4","That which the palmerworm hath left: Heb. The residue of the palmerworm
"
"6154","Joel 1","7","barked my fig tree: Heb. laid my fig tree for a barking
"
"6155","Joel 1","10","dried up: Or, ashamed
"
"6156","Joel 1","14","solemn assembly: Or, day of restrain
"
"6157","Joel 1","17","seed: Heb. grains
"
"6158","Joel 1","19","pastures: Or, habitations
"
"6159","Joel 2","1","trumpet: Or, cornet
"
"6160","Joel 2","2","of many generations: Heb. of generation and generation
"
"6161","Joel 2","6","blackness: Heb. pot
"
"6162","Joel 2","8","sword: Or, dart
"
"6163","Joel 2","17","rule over them: Or, use a byword against them
"
"6164","Joel 2","20","he hath done great things: Heb. he hath magnified to do
"
"6165","Joel 2","23","former rain: Or, a teacher of righteousness
"
"6166","Joel 2","23","moderately: Heb. according to righteousness
"
"6167","Joel 3","5","pleasant things: Heb. desireable
"
"6168","Joel 3","6","the Grecians: Heb. the sons of the Grecians
"
"6169","Joel 3","9","prepare: Heb. sanctify
"
"6170","Joel 3","10","pruninghooks: Or, scythes
"
"6171","Joel 3","11","cause thy mighty ones to come down, O LORD: Or, the Lord shall be brought down
"
"6172","Joel 3","14","decision: Or, concision, or threshing
"
"6173","Joel 3","16","hope: Heb. place of repair, or harbour
"
"6174","Joel 3","17","holy: Heb. holiness
"
"6175","Joel 3","18","flow: Heb. go
"
"6176","Joel 3","20","dwell: Or, abide
"
"6177","Joel 3","21","for the LORD dwelleth in Zion: Or, Even I the Lord that dwelleth in Zion
"
"6178","Amos 1","3","for four: Or, he for four
"
"6179","Amos 1","3","turn away the punishment: Or, convert it, or let it be quiet. And so ver. 6
"
"6180","Amos 1","5","the plain of Aven: Or, Bikathaven
"
"6181","Amos 1","5","house of Eden: Or, Betheden
"
"6182","Amos 1","6","carried away captive the whole captivity: Or, carried them away with an entire captivity
"
"6183","Amos 1","9","the brotherly covenant: Heb. the covenant of brethren
"
"6184","Amos 1","11","cast off all pity: Heb. corrupted his compassions
"
"6185","Amos 1","13","ript up the women: Or, divided the mountains
"
"6186","Amos 2","7","maid: Or, young woman
"
"6187","Amos 2","8","the condemned: Or, such as have fined or mulcted
"
"6188","Amos 2","13","I am pressed under you, as a cart is pressed that is full of sheaves: Or, I will press your place as a cart full of sheaves presseth
"
"6189","Amos 2","14","himself: Heb. his soul or life
"
"6190","Amos 2","16","courageous: Heb. strong of his heart
"
"6191","Amos 3","2","punish: Heb. visit upon
"
"6192","Amos 3","4","cry out: Heb. give forth his voice
"
"6193","Amos 3","6","not be afraid? Or, not run together
"
"6194","Amos 3","6","and the LORD hath not done it?: Or, and shall not the L. do somewhat?
"
"6195","Amos 3","9","oppressed: Or, oppressions
"
"6196","Amos 3","10","robbery: Or, spoil
"
"6197","Amos 3","12","taketh: Heb. delivereth
"
"6198","Amos 3","12","in a couch: Or, on the beds feet
"
"6199","Amos 3","14","visit the transgressions of Israel: Or, punish Israel for
"
"6200","Amos 4","3","ye shall cast them in the palace: Or, ye shall cast away the things of the palace
"
"6201","Amos 4","4","three years: Heb. three years of days
"
"6202","Amos 4","5","offer a sacrifice: Heb. offer by burning
"
"6203","Amos 4","5","this liketh: Heb. so ye love
"
"6204","Amos 4","9","when your gardens… increased, the palmer worm: Or, the multitude of your gardens etc. did the palmerworm etc.
"
"6205","Amos 4","10","after the manner: Or, in the way
"
"6206","Amos 4","10","have taken away your horses: Heb. with the captivity of your horses
"
"6207","Amos 4","13","wind: Or, spirit
"
"6208","Amos 5","9","spoiled: Heb. spoil
"
"6209","Amos 5","11","pleasant vineyards: Heb. vineyards of desire
"
"6210","Amos 5","12","a bribe: Or, a ransom
"
"6211","Amos 5","21","smell in your solemn assemblies: Or, smell your holy days
"
"6212","Amos 5","22","peace offerings: Or, thank offerings
"
"6213","Amos 5","24","run down: Heb. rule
"
"6214","Amos 5","26","the tabernacle of your Moloch: Or, Siccuth your king
"
"6215","Amos 6","1","are at ease: Or, are secure
"
"6216","Amos 6","1","chief: Or, firstfruits
"
"6217","Amos 6","3","seat: Or, habitation
"
"6218","Amos 6","4","stretch themselves: Or, abound with superfluities
"
"6219","Amos 6","5","chant: Or, quaver
"
"6220","Amos 6","6","wine in the bowls: Or, in bowls of wine
"
"6221","Amos 6","6","affliction: Heb. breach
"
"6222","Amos 6","8","all that is therein: Heb. the fullness thereof
"
"6223","Amos 6","3","we may not make mention: Or, they will not, or have not
"
"6224","Amos 6","11","breaches: Or, droppings
"
"6225","Amos 6","14","river: Or, valley
"
"6226","Amos 7","1","grasshoppers: Or, green worms
"
"6227","Amos 7","2","by whom shall Jacob arise?: Or, who of (or for) Jacob shall stand?
"
"6228","Amos 7","13","chapel: Or, sanctuary
"
"6229","Amos 7","13","Kings Court: Heb. house of the kingdom
"
"6230","Amos 7","14","Sycamore fruit: Or, wild figs
"
"6231","Amos 7","15","as I followed: Heb. from behind
"
"6232","Amos 8","3","shall be howlings: Heb. shall howl
"
"6233","Amos 8","3","with silence: Heb. be silent
"
"6234","Amos 8","5","new Moon: Or, month
"
"6235","Amos 8","5","set forth: Heb. open
"
"6236","Amos 8","5","falsifying the balances by deceit?: Heb. perverting the balances of deceit
"
"6237","Amos 9","1","lintel: Or, chapiter, or knop
"
"6238","Amos 9","1","cut them: Or, wound them
"
"6239","Amos 9","6","stories: Or, spheres Heb. ascensions
"
"6240","Amos 9","6","troupe: Or, bundell
"
"6241","Amos 9","9","sift: Heb. cause to move
"
"6242","Amos 9","9","grain: Heb. stone
"
"6243","Amos 9","11","close up the breaches: Heb. hedge, or wall
"
"6244","Amos 9","12","which are called by my name: Heb. upon whom my name is called
"
"6245","Amos 9","13","soweth: Heb. draweth forth
"
"6246","Amos 9","13","sweet wine: Or, new wine
"
"6247","Obadiah 1","5","some grapes? Or, gleanings
"
"6248","Obadiah 1","7","the men that were at peace: Heb. the men of thy peace
"
"6249","Obadiah 1","7","they that eat thy bread: Heb. the men of thy bread
"
"6250","Obadiah 1","7","in: Or, of it
"
"6251","Obadiah 1","11","carry away captive: Or, carried away his substance
"
"6252","Obadiah 1","12","thou shouldest not have looked: Or, do not behold, etc.
"
"6253","Obadiah 1","12","spoken proudly: Heb. magnified thy mouth
"
"6254","Obadiah 1","13","substance: Or, forces
"
"6255","Obadiah 1","14","delivered up: Or, shut up
"
"6256","Obadiah 1","16","swallow down: Or, sup up
"
"6257","Obadiah 1","17","deliverance: Or, they that escape
"
"6258","Obadiah 1","17","shall be holiness: Or, it shall be holy
"
"6259","Obadiah 1","20","which is in Sepharad: Or, shall possess that which is in Sepharad
"
"6260","Jonah 1","1","Jonah: Called Matth. 12.39 Jonas
"
"6261","Jonah 1","4","sent out: Heb. cast forth
"
"6262","Jonah 1","4","was like to be broken: Heb. thought to be broken
"
"6263","Jonah 1","9","the LORD: Or, JEHOVAH
"
"6264","Jonah 1","10","exceedingly afraid: Heb. with great fear
"
"6265","Jonah 1","11","may be calm unto us?: Heb. may be silent unto us
"
"6266","Jonah 1","11","wrought and was tempestuous: Or grew more and more tempestuous. Heb. went
"
"6267","Jonah 1","13","rowed: Heb. digged
"
"6268","Jonah 1","15","ceased: Heb. stood
"
"6269","Jonah 1","16","offered a sacrifice unto the LORD, and made vows: Heb. sacrifice unto the LORD, and vowed vows
"
"6270","Jonah 1","17","belly: Heb. bowels
"
"6271","Jonah 2","2","by reason of mine affliction: Or, out of mine affliction
"
"6272","Jonah 2","2","hell: Or, the grave
"
"6273","Jonah 2","3","midst: Heb. heart
"
"6274","Jonah 2","6","bottoms: Heb. cuttings off
"
"6275","Jonah 2","6","corruption: Or, the pit
"
"6276","Jonah 3","3","exceeding: Heb. of God
"
"6277","Jonah 3","7","published: Heb. said
"
"6278","Jonah 3","7","nobles: Heb. great men
"
"6279","Jonah 4","4","doest thou well to be angry?: Or, art thou greatly angry?
"
"6280","Jonah 4","6","gourd: Or, palmcrist. Heb. Kikajon
"
"6281","Jonah 4","6","exceeding glad: Heb. rejoiced with great joy
"
"6282","Jonah 4","8","vehement: Or, silent
"
"6283","Jonah 4","9","Doest thou well to be angry: Or, art thou greatly angry?
"
"6284","Jonah 4","9","I do well to be angry: Or, I am greatly angry
"
"6285","Jonah 4","10","had pity: Or, spared
"
"6286","Jonah 4","10","came up in a night: Heb. was the son of the night
"
"6287","Micah 1","2","Hear all ye people: Heb. hear ye people all of them
"
"6288","Micah 1","2","all that therein is: Heb. the fullness thereof
"
"6289","Micah 1","4","a steep place: Heb. a descent
"
"6290","Micah 1","8","owls: Heb. daughters of the owl
"
"6291","Micah 1","9","her wound is incurable: Or, she is greviously sick of her wounds
"
"6292","Micah 1","10","Aphrah: That is, dust
"
"6293","Micah 1","11","inhabitant: Heb. inhabitress
"
"6294","Micah 1","11","Saphir: Or, thou that dwellest fairly
"
"6295","Micah 1","11","Zaanan: Or, the country of flocks
"
"6296","Micah 1","11","Bethezel: Or, a place near
"
"6297","Micah 1","12","waited: Or, was grieved
"
"6298","Micah 1","14","to: Or, for
"
"6299","Micah 1","14","Achzib: That is, a lie
"
"6300","Micah 1","15","he shall come unto Adullam, the glory of Israel: Or, the glory of Israel shall come etc.
"
"6301","Micah 2","2","oppress: Or, defraud
"
"6302","Micah 2","4","a doleful lamentation: Heb. with a lamentation of lamentations
"
"6303","Micah 2","4","turning away he hath divided: Or, instead of restoring
"
"6304","Micah 2","6","Prophesy ye not: Or, prophesy not, as they prophesy
"
"6305","Micah 2","6","Prophesy: Heb. drop, etc.
"
"6306","Micah 2","7","straightened: Or, shortened
"
"6307","Micah 2","7","uprightly?: Heb. upright
"
"6308","Micah 2","8","Even of late: Heb. yesterday
"
"6309","Micah 2","8","with the garment: Heb. over against a garment
"
"6310","Micah 2","9","women: Or, wives
"
"6311","Micah 2","11","walking in the spirit and falsehood: Or, walk with the wind, and lie falsely
"
"6312","Micah 3","6","that ye shall not have a vision: Heb. from a vision
"
"6313","Micah 3","6","that ye shall not divine: Heb. from divining
"
"6314","Micah 3","7","lips: Heb. upper lip
"
"6315","Micah 3","10","blood: Heb. bloods
"
"6316","Micah 3","11","and say: Heb. saying
"
"6317","Micah 4","3","pruninghooks: Or, scythes
"
"6318","Micah 5","2","from everlasting: Heb. the days of eternity
"
"6319","Micah 5","4","feed: Or, rule
"
"6320","Micah 5","5","principal men: Heb. princes of men
"
"6321","Micah 5","6","waste: Heb. eat up
"
"6322","Micah 5","6","with the sword: Or, with her own naked swords 
"
"6323","Micah 5","8","sheep: Or, goats
"
"6324","Micah 5","13","standing images: Or, statues
"
"6325","Micah 5","14","cities: Or, enemies
"
"6326","Micah 6","1","before: Or, with
"
"6327","Micah 6","6","of a year old? Heb. sons of a year
"
"6328","Micah 6","7","body: Heb. belly
"
"6329","Micah 6","8","walk humbly: Heb. humble thyself to walk
"
"6330","Micah 6","9","the man of: Or, thy name shall see that which is
"
"6331","Micah 6","10","Are there yet the treasures of wickedness in the house of the wicked: Or, is there yet unto every man an house of the wicked? etc.
"
"6332","Micah 6","10","scant measure that is abominable: Heb. measure of leanness
"
"6333","Micah 6","11","Shall I count them pure: Or, shall I be pure with, etc.
"
"6334","Micah 6","16","the statues: Or, he doth much keep the etc.
"
"6335","Micah 6","16","desolation: Or, astonishment
"
"6336","Micah 7","1","summer fruits: Heb. the gatherings of summer
"
"6337","Micah 7","2","good: Or, godly, or merciful
"
"6338","Micah 7","3","mischevious desire: Heb. the mischief of the soul
"
"6339","Micah 7","10","She that is mine enemy shall see it, and shame shall cover her: Or, and thou wilt see her that is mine enemy and cover her with shame
"
"6340","Micah 7","10","she be trodden down: Heb. she shall be for a treading down
"
"6341","Micah 7","12","from: Or, even to
"
"6342","Micah 7","13","Notwithstanding: Or, after that it hath been
"
"6343","Micah 7","14","Feed: Or, rule
"
"6344","Micah 7","17","worms: Or, creeping things
"
"6345","Nahum 1","2","God is jelous, and the LORD revengeth: Or, the Lord is a jealous God, and a revenger, etc.
"
"6346","Nahum 1","2","furious: Heb. that hath fury
"
"6347","Nahum 1","6","abide: Heb. stand up
"
"6348","Nahum 1","7","strong hold: Or, strength
"
"6349","Nahum 1","11","a wicked counselor: Heb. a counsellor of Belial
"
"6350","Nahum 1","12","Though they be quiet, and likewise many, yet thus shall they be cut down: Or, if they would have been at peace, so should they have been many, and so should they have been shorn, and he should have passed away
"
"6351","Nahum 1","12","cut down: Heb. shorn
"
"6352","Nahum 1","15","keep: Heb. feast
"
"6353","Nahum 1","15","wicked: Heb. Belial
"
"6354","Nahum 2","1","He that dasheth: Or, the disperser or hammer
"
"6355","Nahum 2","2","excellency of Jacob, as the excellency of Israel: Or, the pride of Jacob and the pride of Israel
"
"6356","Nahum 2","3","in scarlet: Or, dyed scarlet
"
"6357","Nahum 2","3","flaming torches: Heb. fiery torches
"
"6358","Nahum 2","4","they shall seem: Heb. their show
"
"6359","Nahum 2","5","worthies: Or, gallants
"
"6360","Nahum 2","5","defense: Heb. covering or coverer
"
"6361","Nahum 2","6","dissolved: Or, molten
"
"6362","Nahum 2","7","Huzzab: Or, That which was established, or, there was a stand made
"
"6363","Nahum 2","7","led away: Or, discovered
"
"6364","Nahum 2","8","of old: Or, from the days that she hath been
"
"6365","Nahum 2","8","look back: Or, cause to turn
"
"6366","Nahum 2","9","for there is none end of the store: Or, And their infinite store, etc.
"
"6367","Nahum 2","9","pleasant furniture: Heb. vessels of desire
"
"6368","Nahum 3","1","bloody City: Heb. city of bloods
"
"6369","Nahum 3","3","the bright sword, and the glittering spear: Heb. the flame of the sword and the lightning of the spear
"
"6370","Nahum 3","8","populous No,: Or, nourishing. Heb. No Amon
"
"6371","Nahum 3","9","thy helpers: Heb. in thy help
"
"6372","Nahum 3","16","spoileth: Or, spreadeth himself
"
"6373","Nahum 3","18","nobles: Or, valiant ones
"
"6374","Nahum 3","19","healing: Heb. wrinkling
"
"6375","Habakkuk 1","4","wrong: Or, wrested
"
"6376","Habakkuk 1","6","breadth: Heb. breadths
"
"6377","Habakkuk 1","7","their judgment and their dignity shall proceed of themselves: Or, from them shall proceed the judgment of these, and the captivity of these
"
"6378","Habakkuk 1","8","fierce: Heb. sharp
"
"6379","Habakkuk 1","9","their faces shall sup up as the East: Heb. the supping up of their faces, etc. Or, their faces shall look toward the East. Heb. the opposition of their faces toward the East
"
"6380","Habakkuk 1","12","mighty: Heb. rock
"
"6381","Habakkuk 1","12","established: Heb. founded
"
"6382","Habakkuk 1","13","iniquity: Or, grievance
"
"6383","Habakkuk 1","14","creeping: Or, moving
"
"6384","Habakkuk 1","15","drag: Or, flue net
"
"6385","Habakkuk 1","16","plenteous: Or, dainty. Heb. fat
"
"6386","Habakkuk 2","1","tower: Heb. fenced place
"
"6387","Habakkuk 2","1","unto me: Or, in me
"
"6388","Habakkuk 2","1","when I am reproved: Or, when I am argued with. Heb. upon my reproof or arguing
"
"6389","Habakkuk 2","5","Yea also: Or, how much more
"
"6390","Habakkuk 2","6","Woe to him: Or, Ho, he
"
"6391","Habakkuk 2","8","blood: Heb. bloods
"
"6392","Habakkuk 2","9","coveteth an evil countenance: Or, gaineth an evil gain
"
"6393","Habakkuk 2","9","power of evil: Heb. palm of the hand
"
"6394","Habakkuk 2","11","beam: Or, piece, or, fastening
"
"6395","Habakkuk 2","11","shall answer it: Or, witness against it
"
"6396","Habakkuk 2","12","blood: Heb. bloods
"
"6397","Habakkuk 2","13","very vanity?: Or, in vain
"
"6398","Habakkuk 2","14","with the knowledge of the glory of the LROD: Or, by knowing the glory of the Lord
"
"6399","Habakkuk 2","16","with shame for glory: Or, more with shame then with glory
"
"6400","Habakkuk 2","18","the maker of his work: Heb. the facioner of his facion
"
"6401","Habakkuk 2","20","let all the earth keep silence before him: Heb. be silent all the earth before him
"
"6402","Habakkuk 3","1","upon Sigionoth: Or, according to variable songs or tunes called in Hebrew Shigianoth
"
"6403","Habakkuk 3","2","thy speech: Heb. thy report or thy hearing
"
"6404","Habakkuk 3","2","revive: Or, preserve alive
"
"6405","Habakkuk 3","3","Teman: Or, the South
"
"6406","Habakkuk 3","4","horns coming out of his hand: Or, bright beams out of his side
"
"6407","Habakkuk 3","5","burning coals: Or, burning diseases
"
"6408","Habakkuk 3","7","Cushan: Or, Ethiopia
"
"6409","Habakkuk 3","7","in affliction: Or, under affliction or vanity
"
"6410","Habakkuk 3","8","thy chariots of salvation?: Or, thy chariots were salvation
"
"6411","Habakkuk 3","9","Thou didst cleave the earth with rivers: Or, thou didst cleave the rivers of the earth
"
"6412","Habakkuk 3","11","at the light of thine arrows: Or, thine arrows walked in the light, etc.
"
"6413","Habakkuk 3","13","by discovering: Heb. making naked
"
"6414","Habakkuk 3","14","came out as a whirlwind: Heb. were tempestuous
"
"6415","Habakkuk 3","15","heap: Or, mud
"
"6416","Habakkuk 3","16","invade them: Or, cut them in pieces
"
"6417","Habakkuk 3","17","fail: Heb. lie
"
"6418","Habakkuk 3","19","stringed instruments: Heb. Neginoth
"
"6419","Zephaniah 1","2","will utterly consume: Heb. by taking away I will make an end
"
"6420","Zephaniah 1","2","the land: Heb. the face of the land
"
"6421","Zephaniah 1","3","stumblingblocks: Or, idols
"
"6422","Zephaniah 1","5","by the LORD: Or, to the Lord
"
"6423","Zephaniah 1","7","bid: Heb. sanctified or prepared
"
"6424","Zephaniah 1","8","punish: Heb. visit upon
"
"6425","Zephaniah 1","12","settled: Heb. curded, or thickened
"
"6426","Zephaniah 2","1","not desired:
"
"6427","Zephaniah 2","7","for: Or, when, etc.
"
"6428","Zephaniah 2","11","famish: Heb. make lean
"
"6429","Zephaniah 2","14","Cormorant: Or, pelican
"
"6430","Zephaniah 2","14","upper lintels: Or, knops, or chapiters
"
"6431","Zephaniah 2","14","for he shall uncover: Or, when he hath uncovered
"
"6432","Zephaniah 3","1","filthy: Or, gluttenous. Heb. craw
"
"6433","Zephaniah 3","2","correction: Or, instruction
"
"6434","Zephaniah 3","5","every morning: Heb. morning by morning
"
"6435","Zephaniah 3","6","towers: Or, corners
"
"6436","Zephaniah 3","9","language: Heb. lip
"
"6437","Zephaniah 3","9","consent: Heb. shoulder
"
"6438","Zephaniah 3","11","because of mine holy: Heb. in my holy
"
"6439","Zephaniah 3","16","slack: Or, faint
"
"6440","Zephaniah 3","17","he will rest: Heb. he will be silent
"
"6441","Zephaniah 3","18","reproach of it was a burden: Heb. the burden upon it was reproach
"
"6442","Zephaniah 3","19","I will get them praise: Heb. I will set them for a praise
"
"6443","Zephaniah 3","19","where they have been put to shame: Heb. of their shame
"
"6444","Haggai 1","1","by Haggai: Heb. by the hand of Haggai
"
"6445","Haggai 1","1","governor: Or, captain
"
"6446","Haggai 1","5","Consider your ways: Heb. set your heart on your ways
"
"6447","Haggai 1","6","with holes: Heb. pierced through
"
"6448","Haggai 1","7","Consider…: Heb. Set your heart on your ways
"
"6449","Haggai 1","9","blow upon it: Or, blow it away
"
"6450","Haggai 2","1","by the: Heb. by the hand of
"
"6451","Zechariah 1","2","sore displeased: Heb. with displeasure
"
"6452","Zechariah 1","6","take hold: Or, overtake
"
"6453","Zechariah 1","8","speckled: Or, bay
"
"6454","Zechariah 1","17","prosperity: Heb. good
"
"6455","Zechariah 2","13","his holy habitation: Heb. the habitation of his holiness
"
"6456","Zechariah 3","1","Satan: That is, an adversary
"
"6457","Zechariah 3","1","to resist him: Heb. to be his advesary
"
"6458","Zechariah 3","7","charge: Or, ordinance
"
"6459","Zechariah 3","7","places: Heb. walks
"
"6460","Zechariah 3","8","men wondered: Heb. men of wonder
"
"6461","Zechariah 4","2","with a bowl: Heb. with her bowl
"
"6462","Zechariah 4","2","seven pipes: Or, seven several pipes to the lamps etc.
"
"6463","Zechariah 4","6","might: Or, army
"
"6464","Zechariah 4","10","for they shall rejoice…those seven…eyes of the LORD: Or, sith the seven eyes of the Lord shall rejoice
"
"6465","Zechariah 4","10","plummet: Heb. stone of tin
"
"6466","Zechariah 4","12","through: Heb. by the hand
"
"6467","Zechariah 4","12","empty…golden oil out: Or, empty out of themselves oil into the gold
"
"6468","Zechariah 4","12","the golden: Heb. the gold
"
"6469","Zechariah 4","14","anointed ones: Heb. sons of oil
"
"6470","Zechariah 5","3","every one that stealeth shall be cut off as on this side: Or, every one of this people that stealeth, holdeth himself guiltless as it doth
"
"6471","Zechariah 5","7","talent: Or, weighty piece
"
"6472","Zechariah 6","3","bay: Or, strong
"
"6473","Zechariah 6","5","spirits: Or, winds
"
"6474","Zechariah 6","12","grow up out of his place: Or, branch up from under him
"
"6475","Zechariah 7","2","to pray before the LORD: Heb. to intreat the face of the Lord
"
"6476","Zechariah 7","6","did not ye: Or, be not ye they that etc.
"
"6477","Zechariah 7","7","Should ye not hear the words: Or, are not these the words
"
"6478","Zechariah 7","7","by the: Heb. by the hand of, etc.
"
"6479","Zechariah 7","9","Execute true judgment: Heb. judge judgment of truth
"
"6480","Zechariah 7","11","pulled away the shoulder: Heb. they gave a backsliding shoulder
"
"6481","Zechariah 7","11","stopped: Heb. made heavy
"
"6482","Zechariah 7","12","by the: Heb. by the hand of
"
"6483","Zechariah 7","14","pleasant land: Heb. land of desire
"
"6484","Zechariah 8","4","for very age: Heb. multitude of days
"
"6485","Zechariah 8","6","marvellous: Or, hard or difficult
"
"6486","Zechariah 8","7","the West country: Heb. the country of the going down of the Sun
"
"6487","Zechariah 8","10","no hire for man: Or, the hire of man became nothing. etc.
"
"6488","Zechariah 8","12","prosperous: Heb. of peace
"
"6489","Zechariah 8","16","execute the judgment of truth and peace: Heb. judge truth, and the judgment of peace
"
"6490","Zechariah 8","19","feasts: Heb. solemn, or set times
"
"6491","Zechariah 8","21","speedily: Or, continually. Heb. going
"
"6492","Zechariah 8","21","pray before: Heb. to intreat the face
"
"6493","Zechariah 9","7","blood: Heb. bloods
"
"6494","Zechariah 9","9","having salvation: Or, saving himself
"
"6495","Zechariah 9","11","by the blood of thy Covenant: Or, whose Covenant is by blood
"
"6496","Zechariah 9","15","subdue with sling stones: Or, subdue the slings of the stone
"
"6497","Zechariah 9","15","shall be filled like bowls: Or, shall fill both the bowls, etc.
"
"6498","Zechariah 9","17","cheerful: Or, grow, or speak
"
"6499","Zechariah 10","1","bright: Or, lightnings
"
"6500","Zechariah 10","2","idols: Heb. teraphims
"
"6501","Zechariah 10","2","were troubled: Or, answered that etc.
"
"6502","Zechariah 10","3","punished: Heb. visited upon
"
"6503","Zechariah 10","5","the riders on horses shall be confounded: Or, they shall make the riders on horses ashamed
"
"6504","Zechariah 11","2","mighty: Or, gallants
"
"6505","Zechariah 11","2","forest of the vintage: Or, the defenced forest
"
"6506","Zechariah 11","6","deliver: Heb. make to be found
"
"6507","Zechariah 11","7","poor: Or, verily the poor
"
"6508","Zechariah 11","7","bands: Or, binders
"
"6509","Zechariah 11","8","lothed them: Heb. was straightened for them
"
"6510","Zechariah 11","9","of another: Heb. of his fellow or neighbour
"
"6511","Zechariah 11","11","the poor of the flock…knew: Or, the poor of the flock, etc. certainly knew
"
"6512","Zechariah 11","12","if ye think good: Heb. if it be good in your eyes
"
"6513","Zechariah 11","14","Bands: Or, binders
"
"6514","Zechariah 11","16","cut off: Or, hidden
"
"6515","Zechariah 11","16","feed: Or, bear
"
"6516","Zechariah 12","2","trembling: Or, slumber or poison
"
"6517","Zechariah 12","2","when they shall be in the seige both against Judah and against Jerusalem: Or, and also against Judah shall he be which shall be in seige against Jerusalem
"
"6518","Zechariah 12","5","The inhabitants…shall be my strength: Or, there is strength to me and to the inhabitants, etc.
"
"6519","Zechariah 12","8","feeble: Or, abject. Heb. fallen
"
"6520","Zechariah 12","12","every family: Heb. families, families
"
"6521","Zechariah 13","1","uncleanness: Heb. separation for uncleanness
"
"6522","Zechariah 13","4","a rough garment: Heb. a garment of hair
"
"6523","Zechariah 13","4","to deceive: Heb. to lie
"
"6524","Zechariah 14","5","the mountains: Or, my mountains
"
"6525","Zechariah 14","5","for the valley of the mountains: Or, when he shall touch the valley of the mountains to the place he separated
"
"6526","Zechariah 14","6","clear: Heb. precious
"
"6527","Zechariah 14","6","dark: Heb. thickness
"
"6528","Zechariah 14","7","it shall be one day: Or, the day shall be one
"
"6529","Zechariah 14","8","former: Or, Eastern
"
"6530","Zechariah 14","10","turned: Or, compassed
"
"6531","Zechariah 14","10","inhabited: Or, shall abide
"
"6532","Zechariah 14","11","shall be safely inhabited: Or, shall abide
"
"6533","Zechariah 14","14","Judah also shall: Or, thou also, O Judah shalt
"
"6534","Zechariah 14","14","at: Or, against
"
"6535","Zechariah 14","18","have no: Heb. upon whom there is not
"
"6536","Zechariah 14","19","punishment: Or, sin
"
"6537","Zechariah 14","20","bells: Or, bridles
"
"6538","Malachi 1","1","by Malachi: Heb. by the hand of Malachi
"
"6539","Malachi 1","5","from: Or, upon. Heb. from upon
"
"6540","Malachi 1","7","Ye offer: Or, bring unto etc.
"
"6541","Malachi 1","8","for sacrifice: Heb. to sacrifice
"
"6542","Malachi 1","9","God: Heb. the face of God
"
"6543","Malachi 1","9","by your means: Heb. from your hand
"
"6544","Malachi 1","13","ye have snuffed at it: Or, whereas you might have blown it away
"
"6545","Malachi 1","14","which hath in his flock: Heb. in whose flock is
"
"6546","Malachi 2","3","corrupt: Or, reprove
"
"6547","Malachi 2","3","spread: Heb. scatter
"
"6548","Malachi 2","3","one shall take you away with it: Or, it shall take you away to it
"
"6549","Malachi 2","8","stumble at the law: Or, fall in the law
"
"6550","Malachi 2","9","have been partial: Or, lifted up the face against. Heb. accepted faces
"
"6551","Malachi 2","11","he loved: Or, ought to love
"
"6552","Malachi 2","12","the Master and the scholar: Or, him that waketh and him that answereth
"
"6553","Malachi 2","15","residue: Or, excellency
"
"6554","Malachi 2","15","a godly seed: Heb. a seed of God
"
"6555","Malachi 2","15","treacherously: Or, unfaithfully
"
"6556","Malachi 2","16","he hateth: Or, if he hate her, put her away
"
"6557","Malachi 2","16","putting away: Heb. to put away
"
"6558","Malachi 3","4","former: Or, ancient
"
"6559","Malachi 3","5","oppress: Or, defraud
"
"6560","Malachi 3","5","pour you out: Heb. empty out
"
"6561","Malachi 3","11","destroy: Heb. corrupt
"
"6562","Malachi 3","14","ordinance: Heb. observation
"
"6563","Malachi 3","14","mournfully: Heb. in black
"
"6564","Malachi 3","15","are set up: Heb. are built
"
"6565","Malachi 3","17","jewels: Or, special treasure
"
"6566","Matthew 1","11","Josias begat Jechonias and his brethren: some read, Josias begat Jakim, and Jakim begat Jechonias
"
"6567","Matthew 1","23","they shall call his name: Or, his name shall be called
"
"6568","Matthew 2","6","rule: Or, feed
"
"6569","Matthew 2","11","presented: Or, offered
"
